article_slug,broken_link,fix_to,target_exists
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-pci-dss,/knowledge-hub/what-is-pci-dss,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-hipaa,/knowledge-hub/what-is-hipaa,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-compliance-as-code,/knowledge-hub/what-is-compliance-as-code,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/fundamentals/prebuild-stage-security,/knowledge-hub/prebuild-stage-security,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/02-explore/deep-dives/build-stage-security,/knowledge-hub/build-stage-security,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/05-deploy/getting-started/end-to-end-secure-deployment,/knowledge-hub/end-to-end-secure-deployment,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/07-secure/hardening/runtime-stage-security,/knowledge-hub/runtime-stage-security,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-sbom,/knowledge-hub/what-is-sbom,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-cosign-and-image-signing,/knowledge-hub/what-is-cosign-and-image-signing,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-slsa,/knowledge-hub/what-is-slsa,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-opa,/knowledge-hub/what-is-opa,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-are-reproducible-builds,/knowledge-hub/what-are-reproducible-builds,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/02-explore/deep-dives/strip-down-vs-source-built,/knowledge-hub/strip-down-vs-source-built,YES
